Calcimycin,Benzoxazoles
"Infant, Newborn","Infant, Low Birth Weight"
"Infant, Newborn",Infant
"Congenital, Hereditary, and Neonatal Diseases and Abnormalities","Infant, Newborn, Diseases"
"Infant, Postmature","Infant, Newborn"
"Infant, Newborn","Infant, Premature"
"Infant, Premature, Diseases","Infant, Newborn, Diseases"
"Infant, Low Birth Weight","Infant, Small for Gestational Age"
Infanticide,Homicide
Ischemia,Infarction
Infarction,Necrosis
Bacterial Infections and Mycoses,Infection
Equartevirus,Arterivirus
Herpesviridae Infections,Infectious Bovine Rhinotracheitis
Infectious Bovine Rhinotracheitis,Cattle Diseases
Varicellovirus,"Herpesvirus 1, Bovine"
Infectious bursal disease virus,Avibirnavirus
Epstein-Barr Virus Infections,Infectious Mononucleosis
Infectious Mononucleosis,Leukocyte Disorders
Lymphoproliferative Disorders,Infectious Mononucleosis
Inferior Colliculi,Tectum Mesencephali
"Genital Diseases, Male",Infertility
Infertility,"Genital Diseases, Female"
Infertility,"Infertility, Female"
"Infertility, Male",Infertility
Pathologic Processes,Inflammation
"Inflation, Economic",Economics
Orthomyxoviridae Infections,"Influenza, Human"
"Influenza, Human",Respiratory Tract Infections
Viral Vaccines,Influenza Vaccines
Information Centers,Non-Medical Public and Private Facilities
Information Science,Information Centers
Information Services,Information Science
Medical Informatics Applications,Information Systems
Information Theory,Information Science
Patient Rights,Informed Consent
Informed Consent,Jurisprudence
Light,Infrared Rays
Infrared Rays,Sunlight
Equipment and Supplies,Infusion Pumps
Infusion Pumps,Artificial Organs
"Infusions, Parenteral","Infusions, Intra-Arterial"
"Infusions, Intravenous","Administration, Intravenous"
"Infusions, Parenteral","Infusions, Intravenous"
"Infusions, Parenteral",Drug Administration Routes
Abdomen,Inguinal Canal
Inhibins,Gonadal Hormones
Peptide Hormones,Inhibins
Inhibins,Glycoproteins
Behavior,Inhibition (Psychology)
Inhibition (Psychology),Learning
Psychoanalytic Theory,Inhibition (Psychology)
Injections,Drug Administration Routes
"Injections, Spinal","Injections, Epidural"
"Injections, Intra-Arterial",Injections
Injections,"Injections, Intra-Articular"
"Injections, Intradermal","Injections, Subcutaneous"
Injections,"Injections, Intralymphatic"
"Injections, Intramuscular",Injections
Injections,"Injections, Intraperitoneal"
"Injections, Intravenous","Administration, Intravenous"
Injections,"Injections, Intravenous"
"Injections, Intraventricular",Injections
"Injections, Subcutaneous","Injections, Jet"
"Injections, Spinal",Injections
Injections,"Injections, Subcutaneous"
Ink,Manufactured Materials
Projective Techniques,Ink Blot Tests
Inlay Casting Wax,Dental Impression Materials
"Dental Restoration, Permanent",Inlays
Inosine,Purine Nucleosides
Ribonucleosides,Inosine
Cyclic IMP,Inosine Nucleotides
"Nucleotides, Cyclic",Cyclic IMP
Inosine Diphosphate,Inosine Nucleotides
Inosine Nucleotides,Inosine Monophosphate
Inosine Nucleotides,Purine Nucleotides
Ribonucleotides,Inosine Nucleotides
Inosine Triphosphate,Inosine Nucleotides
Sugar Alcohols,Inositol
Inositol Phosphates,Inositol
Sugar Phosphates,Inositol Phosphates
Myo-Inositol-1-Phosphate Synthase,Intramolecular Lyases
Patients,Inpatients
Insanity Defense,Forensic Psychiatry
Bites and Stings,Insect Bites and Stings
Insect Control,Pest Control
Invertebrate Hormones,Insect Hormones
Insect Repellents,Protective Agents
Pesticides,Insect Repellents
Insect Vectors,Arthropod Vectors
Viruses,Insect Viruses
Insecticide Resistance,Drug Resistance
Pesticides,Insecticides
Insectivora,Mammals
Arthropods,Insecta
Insemination,Reproduction
"Reproductive Techniques, Assisted","Insemination, Artificial"
"Insemination, Artificial",Insemination
"Insemination, Artificial","Insemination, Artificial, Heterologous"
"Insemination, Artificial, Homologous","Insemination, Artificial"
Education,Inservice Training
Sleep Initiation and Maintenance Disorders,"Sleep Disorders, Intrinsic"
Vital Capacity,Inspiratory Capacity
Inspiratory Reserve Volume,Inspiratory Capacity
Drug Administration Routes,"Instillation, Drug"
Instinct,Motivation
Organization and Administration,Institutional Management Teams
Institutional Practice,Professional Practice
Patient Care,Institutionalization
Insufflation,Diagnostic Techniques and Procedures
Therapeutics,Insufflation
Insulin,Proinsulin
Hormone Antagonists,Insulin Antagonists
Insulin Antibodies,Antibodies
Coma,Insulin Coma
Insulin Coma,Hypoglycemia
Drug Delivery Systems,Insulin Infusion Systems
Insulin Infusion Systems,Infusion Pumps
Hyperinsulinism,Insulin Resistance
Insulin Resistance,Drug Resistance
Somatomedins,Insulin-Like Growth Factor I
Insulin-Like Growth Factor II,Somatomedins
"Insulin, Long-Acting","Insulin, Isophane"
Insulysin,Metalloendopeptidases
"Adenoma, Islet Cell",Insulinoma
Insurance,"Financing, Organized"
Insurance,Insurance Benefits
Insurance Carriers,Insurance
Insurance,Insurance Claim Reporting
Insurance Claim Review,Insurance
"Insurance, Health","Insurance, Accident"
"Insurance, Dental","Insurance, Health"
Insurance,"Insurance, Health"
"Insurance, Health, Reimbursement","Insurance, Health"
"Financing, Organized","Insurance, Health, Reimbursement"
"Insurance, Hospitalization","Insurance, Health"
Insurance,"Insurance, Liability"
"Insurance, Life",Insurance
"Insurance, Health","Insurance, Long-Term Care"
"Insurance, Major Medical","Insurance, Health"
"Insurance, Health","Insurance, Nursing Services"
"Insurance, Pharmaceutical Services","Insurance, Health"
"Insurance, Health","Insurance, Physician Services"
"Insurance, Psychiatric","Insurance, Health"
"Insurance, Health","Insurance, Surgical"
Intelligence,Personality
Aptitude Tests,Intelligence Tests
Intensive Care Units,Hospital Units
"Intensive Care Units, Pediatric","Intensive Care Units, Neonatal"
Intercalating Agents,Indicators and Reagents
Cell Membrane Structures,Intercellular Junctions
Intercostal Muscles,Respiratory Muscles
Thoracic Nerves,Intercostal Nerves
Interferometry,Investigative Techniques
Immunologic Factors,Interferon Inducers
Interferon Type I,Interferons
Interferons,Interferon-gamma
Interferon-gamma,Macrophage-Activating Factors
Cytokines,Interferons
Interinstitutional Relations,Public Relations
Facility Design and Construction,Interior Design and Furnishings
Interleukin-1,Interleukins
Monokines,Interleukin-1
Interleukin-2,Interleukins
Lymphokines,Interleukin-2
Interleukin-3,Colony-Stimulating Factors
Interleukins,Interleukin-3
Interleukins,Cytokines
Library Services,Interlibrary Loans
Intermediate Care Facilities,Nursing Homes
Biopolymers,Intermediate Filament Proteins
Intermediate Filament Proteins,Cytoskeletal Proteins
Cytoskeleton,Intermediate Filaments
Intermittent Claudication,Arteriosclerosis
Signs and Symptoms,Intermittent Claudication
Intermittent Positive-Pressure Breathing,Positive-Pressure Respiration
Positive-Pressure Respiration,Intermittent Positive-Pressure Ventilation
Internal Mammary-Coronary Artery Anastomosis,Coronary Artery Bypass
Medicine,Internal Medicine
Internal-External Control,"Psychology, Social"
Organizations,International Agencies
International Cooperation,Internationality
"Societies, Nursing",International Council of Nurses
International Educational Exchange,International Cooperation
Education,International Educational Exchange
International System of Units,Weights and Measures
Neurons,Interneurons
Internship and Residency,"Education, Medical, Graduate"
"Education, Professional","Internship, Nonmedical"
Interpersonal Relations,"Psychology, Social"
Cell Cycle,Interphase
Interprofessional Relations,Interpersonal Relations
Animal Structures,Interrenal Gland
Intertrigo,Dermatitis
"Skin Diseases, Eczematous",Intertrigo
Intervertebral Disc,Fibrocartilage
Spine,Intervertebral Disc
Intervertebral Disc Chemolysis,Orthopedic Procedures
Spinal Diseases,Intervertebral Disc Displacement
Intervertebral Disc Displacement,Hernia
Psychological Techniques,"Interview, Psychological"
Interviews as Topic,Data Collection
Gastrointestinal Absorption,Intestinal Absorption
Intestinal Atresia,Digestive System Abnormalities
Intestinal Diseases,Intestinal Atresia
Intestinal Diseases,Gastrointestinal Diseases
Parasitic Diseases,"Intestinal Diseases, Parasitic"
"Intestinal Diseases, Parasitic",Intestinal Diseases
Digestive System Fistula,Intestinal Fistula
Intestinal Fistula,Intestinal Diseases
Intestines,Intestinal Mucosa
Intestinal Mucosa,Mucous Membrane
Gastrointestinal Neoplasms,Intestinal Neoplasms
Intestinal Neoplasms,Intestinal Diseases
Intestinal Diseases,Intestinal Obstruction
Intestinal Perforation,Intestinal Diseases
Polyps,Intestinal Polyps
Intestinal Pseudo-Obstruction,Ileus
Bodily Secretions,Intestinal Secretions
"Intestine, Large",Intestines
Lower Gastrointestinal Tract,"Intestine, Large"
"Intestine, Small",Intestines
Gastrointestinal Tract,Intestines
Intra-Aortic Balloon Pumping,Counterpulsation
Intracellular Space,Intracellular Fluid
Intracellular Fluid,Subcellular Fractions
Body Fluids,Intracellular Fluid
Intracellular Membranes,Cell Membrane
Subcellular Fractions,Intracellular Membranes
"Genes, Intracisternal A-Particle",Retroelements
"Genes, Viral","Genes, Intracisternal A-Particle"
Intracranial Pressure,Cerebrospinal Fluid Pressure
Skin Tests,Intradermal Tests
Intraocular Pressure,Ocular Physiological Phenomena
Perioperative Care,Intraoperative Care
Intraoperative Complications,Pathologic Processes
Perioperative Period,Intraoperative Period
Intrauterine Device Expulsion,Intrauterine Device Migration
"Contraceptive Devices, Female",Intrauterine Devices
"Intrauterine Devices, Copper","Intrauterine Devices, Medicated"
Intrauterine Devices,"Intrauterine Devices, Medicated"
Intrinsic Factor,Mucoproteins
"DNA, Intergenic",Introns
Introns,Gene Components
Personality Development,Introversion (Psychology)
Introversion (Psychology),Psychoanalytic Theory
Therapeutics,Intubation
Intubation,Investigative Techniques
Intubation,"Intubation, Gastrointestinal"
"Intubation, Intratracheal",Airway Management
Intubation,"Intubation, Intratracheal"
Intussusception,Intestinal Obstruction
Starch,Inulin
Inulin,Fructans
"Materials Management, Hospital","Inventories, Hospital"
Chromosome Inversion,Chromosome Aberrations
Sequence Inversion,Chromosome Inversion
Invertebrate Hormones,Hormones
Animals,Invertebrates
Investments,Economics
Triiodobenzoic Acids,Iodamide
Iodates,Anions
Iodine Compounds,Iodates
Iodide Peroxidase,Peroxidases
Anions,Iodides
Iodides,Iodine Compounds
Halogens,Iodine
Iodine Isotopes,Iodine
Isotopes,Iodine Isotopes
Iodine Radioisotopes,Iodine Isotopes
Radioisotopes,Iodine Radioisotopes
Iodipamide,Triiodobenzoic Acids
Plant Oils,Iodized Oil
Iodoacetamide,Acetamides
Iodoacetates,Iodoacetamide
Iodoacetates,Acetates
"Hydrocarbons, Iodinated",Iodoacetates
Iodobenzenes,Benzene Derivatives
"Hydrocarbons, Iodinated",Iodobenzenes
Iodobenzoates,Benzoates
Oxyquinoline,Clioquinol
Iodohippuric Acid,Hippurates
Iodine Compounds,Iodophors
Iodoproteins,Proteins
Iodopyridones,Iodopyracet
Iodopyridones,Pyridones
Thyroid Hormones,Monoiodotyrosine
Monoiodotyrosine,Tyrosine
Triiodobenzoic Acids,Ioglycamic Acid
Iohexol,Triiodobenzoic Acids
Membrane Transport Proteins,Ion Channels
Ion Channels,Membrane Glycoproteins
Chemical Phenomena,Ion Exchange
Ion Exchange Resins,Laboratory Chemicals
Membrane Transport Modulators,Ionophores
Ionophores,Specialty Uses of Chemicals
Electrolytes,Ions
Iontophoresis,Drug Administration Routes
Electrophoresis,Iontophoresis
Iopamidol,Triiodobenzoic Acids
Iodobenzenes,Iopanoic Acid
Iophendylate,Iodobenzenes
Meglumine,Iothalamate Meglumine
Iothalamate Meglumine,Iothalamic Acid
Triiodobenzoic Acids,Iothalamate Meglumine
Iothalamic Acid,Triiodobenzoic Acids
Midwestern United States,Iowa
Ioxaglic Acid,Triiodobenzoic Acids
Plant Extracts,Ipecac
Ipodate,Iodobenzenes
Cyclooctanes,Iprindole
Iprindole,Indoles
Hydrazines,Iproniazid
Iproniazid,Isonicotinic Acids
Nitroimidazoles,Ipronidazole
Iran,Middle East
Middle East,Iraq
Ireland,Europe
Islands,Ireland
Iridium,"Metals, Heavy"
Transition Elements,Iridium
Iridium Radioisotopes,Radioisotopes
DNA Viruses,Iridoviridae
Iris,Anterior Eye Segment
Uvea,Iris
Iris Diseases,Uveal Diseases
Iris Diseases,Iritis
Iritis,"Uveitis, Anterior"
"Metals, Heavy",Iron
Iron,Transition Elements
Chelating Agents,Iron Chelating Agents
Iron Isotopes,Iron
Isotopes,Iron Isotopes
Iron Radioisotopes,Iron Isotopes
Radioisotopes,Iron Radioisotopes
Iron-Dextran Complex,Ferric Compounds
Dextrans,Iron-Dextran Complex
Iron-Sulfur Proteins,Nonheme Iron Proteins
Hydrotherapy,Therapeutic Irrigation
Therapeutic Irrigation,Investigative Techniques
Affect,Irritable Mood
Irritants,Specialty Uses of Chemicals
Noxae,Irritants
Isatin,Indoles
Pathologic Processes,Ischemia
Ischium,Pelvic Bones
Alkanesulfonic Acids,Isethionic Acid
Islam,Religion
Pancreas,Islets of Langerhans
Islets of Langerhans,Endocrine Glands
Adenoma,"Adenoma, Islet Cell"
"Adenoma, Islet Cell",Pancreatic Neoplasms
Glycoside Hydrolases,Isoamylase
Isoantibodies,Antibodies
Antigens,Isoantigens
Isocarboxazid,Isoxazoles
NAD (+) and NADP (+) Dependent Alcohol Oxidoreductases,Isocitrate Dehydrogenase
Isocitrate Lyase,Oxo-Acid-Lyases
Citrates,Isocitrates
Isodesmosine,Pyridinium Compounds
"Amino Acids, Cyclic",Isodesmosine
Isoelectric Focusing,Electrophoresis
Isoelectric Focusing,Isoelectric Point
Isoelectric Point,Hydrogen-Ion Concentration
Enzymes,Isoenzymes
Isoenzymes,Protein Isoforms
Amino Alcohols,Isoetharine
Isoflavones,Flavonoids
Methyl Ethers,Isoflurane
Isoflurophate,Organofluorophosphonates
"Amino Acids, Branched-Chain",Isoleucine
Isoleucine,"Amino Acids, Essential"
Amino Acyl-tRNA Synthetases,Isoleucine-tRNA Ligase
Isomaltose,Glucans
Disaccharides,Isomaltose
Isomerases,Enzymes
Molecular Structure,Isomerism
Isomerism,Organic Chemistry Phenomena
Muscle Contraction,Isometric Contraction
Isoniazid,Hydrazines
Isonicotinic Acids,Isoniazid
Isonicotinic Acids,"Acids, Heterocyclic"
Pyridines,Isonicotinic Acids
Isonipecotic Acids,"Acids, Heterocyclic"
Piperidines,Isonipecotic Acids
Isopentenyladenosine,Cytokinins
Adenosine,Isopentenyladenosine
Inosine Pranobex,Acetanilides
Inosine,Inosine Pranobex
Isopropyl Thiogalactoside,Thiogalactosides
Ethanolamines,Isoproterenol
Isoproterenol,Catecholamines
"Heterocyclic Compounds, 2-Ring",Isoquinolines
Isosorbide,Sorbitol
Isosorbide,Isosorbide Dinitrate
Isospora,Eimeriidae
Thiourea,Isothiuronium
Isotonic Contraction,Muscle Contraction
Solutions,Isotonic Solutions
Isotope Labeling,Investigative Techniques
Inorganic Chemicals,Isotopes
Isoxazoles,Azoles
Propanolamines,Isoxsuprine
Isoxsuprine,Phenethylamines
Middle East,Israel
Italy,Europe
Macrolides,Ivermectin
Cote d'Ivoire,"Africa, Western"
Dementia,Creutzfeldt-Jakob Syndrome
Creutzfeldt-Jakob Syndrome,Prion Diseases
West Indies,Jamaica
Japan,Far East
Islands,Japan
Jaundice,Hyperbilirubinemia
Skin Manifestations,Jaundice
"Jaundice, Chronic Idiopathic","Hyperbilirubinemia, Hereditary"
"Jaundice, Neonatal","Jaundice, Chronic Idiopathic"
"Jaundice, Neonatal","Hyperbilirubinemia, Neonatal"
Facial Bones,Jaw
Jaw,Stomatognathic System
Jaw Diseases,Jaw Abnormalities
Jaw Abnormalities,Maxillofacial Abnormalities
Bone Cysts,Jaw Cysts
Jaw Cysts,Jaw Diseases
Musculoskeletal Diseases,Jaw Diseases
Jaw Diseases,Stomatognathic Diseases
Maxillofacial Injuries,Jaw Fractures
Jaw Fractures,Skull Fractures
Skull Neoplasms,Jaw Neoplasms
Jaw Neoplasms,Jaw Diseases
Dentistry,Jaw Relation Record
"Jaw, Edentulous",Jaw Diseases
"Mouth, Edentulous","Jaw, Edentulous"
"Jaw, Edentulous, Partially","Jaw, Edentulous"
Polyomavirus,JC Virus
Jealousy,Emotions
Intestinal Diseases,Jejunal Diseases
Jejunal Neoplasms,Intestinal Neoplasms
Jejunal Diseases,Jejunal Neoplasms
Jejunoileal Bypass,Bariatric Surgery
"Anastomosis, Surgical",Jejunoileal Bypass
Jejunoileal Bypass,Digestive System Surgical Procedures
Enterostomy,Jejunostomy
Jejunum,"Intestine, Small"
Lower Gastrointestinal Tract,Jejunum
Jews,Ethnic Groups
Personnel Management,Job Application
Job Description,Personnel Management
"Psychology, Industrial",Job Satisfaction
Job Syndrome,Phagocyte Bactericidal Dysfunction
Running,Jogging
Joint Commission on Accreditation of Healthcare Organizations,Accreditation
Musculoskeletal Diseases,Joint Diseases
Joint Instability,Joint Diseases
Joint Diseases,Joint Loose Bodies
Joint Prosthesis,Prostheses and Implants
Skeleton,Joints
Jordan,Middle East
Journalism,"Journalism, Dental"
Judaism,Religion
Thinking,Judgment
Jugular Veins,Veins
Psychoanalytic Theory,Jungian Theory
Jurisprudence,"Social Control, Formal"
Social Problems,Juvenile Delinquency
Juvenile Hormones,Insect Hormones
Kidney Glomerulus,Juxtaglomerular Apparatus
Kainic Acid,Pyrrolidines
Bradykinin,Kallidin
Kallikreins,Serine Endopeptidases
Blood Coagulation Factors,Kallikreins
Aprotinin,Proteins
Aminoglycosides,Kanamycin
Kanamycin Resistance,"Drug Resistance, Bacterial"
Marsupialia,Macropodidae
Kansas,Midwestern United States
Aluminum Silicates,Kaolin
Kaposi Varicelliform Eruption,Herpes Simplex
Plant Gums,Karaya Gum
Kartagener Syndrome,Bronchiectasis
Ciliary Motility Disorders,Kartagener Syndrome
Kartagener Syndrome,Respiratory System Abnormalities
Dextrocardia,Kartagener Syndrome
Kartagener Syndrome,"Genetic Diseases, Inborn"
Cytodiagnosis,Karyometry
Karyotyping,Cytogenetic Analysis
